group,n,observed_readmission_rate,mean_predicted_risk,selection_rate_at_10pct_capacity,actual_readmissions,captured_readmissions,capture_rate,selected_readmission_rate,roc_auc,pr_auc
40-59,26667,0.10091123860951738,0.10053969610145735,0.08868639142010724,2691,668,0.24823485693050912,0.2824524312896406,0.7017638225367695,0.23447624789250165
60-79,47390,0.11705001055074911,0.11714610220064797,0.1003165224730956,5547,1227,0.22120064899945915,0.2580984434160707,0.6641935978103456,0.21752197695122713
80+,19023,0.12474373127266992,0.12665395364605478,0.10792198917100353,2373,489,0.20606826801517067,0.23818801753531418,0.6233174514590444,0.20079456843338908
Under 40,6263,0.11224652722337537,0.10729937419205267,0.12358294746926393,703,263,0.3741109530583215,0.3397932816537468,0.7641357184522652,0.3154046247796947
