Effectiveness_pct,Avoided_readmissions,Gross_savings,Net_value
0.0,0.0,0.0,-372562.5
5.0,33.050000000000004,495750.00000000006,123187.50000000006
10.0,66.10000000000001,991500.0000000001,618937.5000000001
15.000000000000002,99.15000000000002,1487250.0000000002,1114687.5000000002
20.0,132.20000000000002,1983000.0000000002,1610437.5000000002
25.0,165.25,2478750.0,2106187.5
30.000000000000004,198.30000000000004,2974500.0000000005,2601937.5000000005
35.0,231.35000000000002,3470250.0000000005,3097687.5000000005
40.0,264.40000000000003,3966000.0000000005,3593437.5000000005
45.0,297.45,4461750.0,4089187.5
50.0,330.5,4957500.0,4584937.5
