group,n,observed_readmission_rate,mean_predicted_risk,selection_rate_at_10pct_capacity,actual_readmissions,captured_readmissions,capture_rate,selected_readmission_rate,roc_auc,pr_auc
AfricanAmerican,18772,0.11447901129341573,0.115282679732693,0.10600894949925421,2149,496,0.2308050255932992,0.2492462311557789,0.6715440522106495,0.21527851487091673
Asian,628,0.1035031847133758,0.09650311482583152,0.05573248407643312,65,11,0.16923076923076924,0.3142857142857143,0.747533816095095,0.30051154124729756
Caucasian,74220,0.1152789005658852,0.11521186030742223,0.10227701428186473,8556,2046,0.2391304347826087,0.2695297062310631,0.6750042607862932,0.22929496079836245
Hispanic,2017,0.10510659395141299,0.10030712671958021,0.06941001487357462,212,53,0.25,0.37857142857142856,0.7390045993832646,0.2618150593301001
Other,1472,0.09782608695652174,0.09870643624876951,0.078125,144,27,0.1875,0.23478260869565218,0.6674536688420348,0.20470321562885477
Unknown,2234,0.08415398388540735,0.08534913123491636,0.03357206803939123,188,14,0.07446808510638298,0.18666666666666668,0.6526447557247146,0.14862525725906492
