feature,importance
cat__diag_2_group_Mental disorders,0.0035315915
cat__diag_3_group_Mental disorders,0.0034894724
cat__max_glu_serum_>300,0.003481174
cat__payer_code_MD,0.0034591674
cat__diag_1_group_Symptoms/Signs,0.003432935
cat__diag_1_group_Injury,0.003432602
cat__diag_2_group_Endocrine/Metabolic,0.0034058844
cat__diag_1_group_Congenital,0.003399351
cat__diag_2_group_Symptoms/Signs,0.0033695553
cat__admission_source_id_9,0.0033480118
cat__diag_3_group_Endocrine/Metabolic,0.0033447787
cat__medical_specialty_grouped_Radiologist,0.003278591
cat__rosiglitazone_Down,0.0031946972
cat__age_[60-70),0.0031481152
cat__diag_3_group_Unknown,0.0031062195
cat__discharge_disposition_id_4,0.002927128
cat__admission_source_id_3,0.0029042237
cat__glimepiride_Up,0.0028667098
cat__pioglitazone_Down,0.0028636872
cat__discharge_disposition_id_9,0.002698674
cat__payer_code_MP,0.0022128813
cat__admission_source_id_20,0.0021195665
cat__glimepiride_Down,0.002097668
cat__diag_2_group_Congenital,0.002047791
cat__diag_1_group_Unknown,0.0020276138
cat__rosiglitazone_Up,0.0018765498
cat__diag_2_group_Unknown,0.0018017819
cat__admission_type_id_7,0.0017189771
cat__discharge_disposition_id_12,0.0016788447
cat__discharge_disposition_id_17,0.0015201021
cat__discharge_disposition_id_16,0.0014552333
cat__admission_source_id_13,0.0
cat__admission_source_id_22,0.0
cat__admission_source_id_25,0.0
cat__admission_source_id_10,0.0
cat__admission_source_id_8,0.0
cat__discharge_disposition_id_27,0.0
cat__discharge_disposition_id_8,0.0
cat__discharge_disposition_id_10,0.0
cat__admission_type_id_4,0.0
cat__admission_source_id_14,0.0
cat__admission_source_id_11,0.0
cat__diag_1_group_External injury,0.0
cat__payer_code_SI,0.0
cat__payer_code_FR,0.0
