Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Brier_Score
Logistic Regression,0.6683812649104617,0.18163085075066235,0.5453420540922751,0.2725024291140359,0.663897421208556,0.21480904704437967,0.22550350906554525
Random Forest,0.867841720101064,0.31407498463429623,0.1354958458546933,0.18931769064526088,0.6731943488105939,0.22313202337021354,0.13580774765400921
XGBoost,0.6717131554311828,0.18774373259052926,0.5659360084850628,0.2819524868447126,0.6749958205655278,0.22990844121967732,0.213735052773985
