Capacity_pct,Patients_reviewed,Pharmacist_hours,Readmissions_captured,Capture_rate,Lift,Intervention_cost,Estimated_avoided,Gross_savings,Net_value
5.0,4968,2484.0,1625,0.14362736432738202,2.8725472865476402,186300.0,81.25,1218750.0,1032450.0
10.0,9935,4967.5,2644,0.23369277001944494,2.3369277001944493,372562.5,132.20000000000002,1983000.0000000002,1610437.5000000002
15.0,14902,7451.0,3565,0.3150963408166873,2.1006422721112488,558825.0,178.25,2673750.0,2114925.0
20.0,19869,9934.5,4385,0.38757291850804315,1.9378645925402156,745087.5,219.25,3288750.0,2543662.5
