group,n,observed_readmission_rate,mean_predicted_risk,selection_rate_at_10pct_capacity,actual_readmissions,captured_readmissions,capture_rate,selected_readmission_rate,roc_auc,pr_auc
Female,53454,0.11464062558461481,0.11482320925856215,0.10201294571033037,6128,1450,0.23661879895561358,0.2659086741243352,0.6784208918551607,0.22834426410227004
Male,45886,0.11301922154905636,0.11279983600482203,0.09789478272239899,5186,1197,0.23081372927111454,0.2664737310774711,0.6733766585714136,0.22184814491495855
